lat,lon,amenity,leisure,shop
57.8041467,12.0685155,post_box,,
57.7952231,12.0496839,,,supermarket
57.8057943,12.0651373,recycling,,
57.757572,12.0362794,,,convenience
57.7572554,12.036366,,,convenience
57.7579009,12.0363611,pub,,
57.747254,11.9516915,post_box,,
57.780016,12.0347343,fast_food,,
57.75204,12.0321209,fountain,,
57.693876,11.9585924,fast_food,,
57.8040823,12.0682435,fast_food,,
57.7833836,12.0346105,bench,,
57.7264985,11.9460461,fuel,,
57.6356762,11.9417747,recycling,,
57.698797,11.9762,restaurant,,
57.7970726,12.0500457,fast_food,,
57.5983435,11.7919135,,marina,
57.7082216,11.9656507,school,,
57.6071164,11.7893626,restaurant,,
57.6335423,11.9373694,library,,
57.6337129,11.9368458,fast_food,,
57.6349822,11.9417598,,,hairdresser
57.6351711,11.9418478,fast_food,,
57.7003592,11.9744806,restaurant,,
57.7024164,11.9557343,cafe,,
57.7054711,11.9338013,fast_food,,
57.7055628,11.9334902,restaurant,,
57.6914082,11.9560277,library,,
57.6948274,11.9546087,,fitness_centre,
57.6961245,11.9509179,,,bicycle
57.6967731,11.9515164,,,alcohol
57.804582,12.16875,fast_food,,
57.708836,11.9748564,taxi,,
57.794029,11.8446806,,marina,
57.6261701,11.9355232,fuel,,
57.7156162,12.0565141,fast_food,,
57.6632718,11.9101297,cafe,,
57.6996241,12.0128335,fast_food,,
57.6712208,11.9269107,,,supermarket
57.7195884,11.959458,post_box,,
57.6139864,11.9324538,restaurant,,
57.7892092,12.0427472,fuel,,no
57.6982271,11.9669878,compressed_air,,
57.7407089,12.0627005,recycling,,
57.6978299,11.9781648,cinema,,
57.6568719,11.9326326,post_box,,
57.6571827,11.9323179,restaurant,,
57.6944534,11.9851923,university,,
57.6947989,11.9848193,cafe,,
57.6717478,11.9275859,taxi,,
57.6740534,11.9347127,,,supermarket
57.6713195,11.9284913,post_box,,
57.7971564,12.0498825,,,kiosk
57.795765,12.0509939,theatre,,
57.7058373,11.9718221,restaurant,,
57.7044494,11.9722537,restaurant,,
57.7044932,11.9700824,post_box,,
57.7056971,11.9714921,fast_food,,
57.7059527,11.9704774,,,sports
57.7062272,11.9705667,fast_food,,
57.7047262,11.9699811,cafe,,
57.705056,11.968594,restaurant,,
57.6946558,11.9938241,restaurant,,
57.6960493,11.9921876,restaurant,,
57.6947907,11.9929065,restaurant,,
57.6941655,11.993806,fast_food,,
57.695035,11.9954388,restaurant,,
57.6946735,11.993382,fast_food,,
57.6948775,11.9937222,cafe,,
57.6958639,11.9929551,cafe,,
57.6951633,11.9909756,fast_food,,
57.7001729,11.9722297,restaurant,,
57.70198,11.973038,restaurant,,
57.7956006,12.0475683,,,supermarket
57.5999879,11.7941732,ferry_terminal,,
57.6485393,11.8678445,post_box,,
57.6971081,11.9854853,restaurant,,
57.6978355,11.9827142,restaurant,,
57.7332455,11.8922325,parking_entrance,,
57.7785601,12.048452,post_box,,
57.7299783,12.0139261,pharmacy,,
57.7294288,12.0117017,cafe,,
57.729299,12.0114423,,,convenience
57.7304308,12.0128532,cafe,,bakery
57.7312893,12.0082412,recycling,,
57.730047,12.0077784,restaurant,,
57.7298221,12.0076766,,,convenience
57.729092,12.011907,pub,,
57.6330617,11.9189688,,,craft
57.6648343,11.8880751,bench,,
57.6641113,11.8890943,bench,,
57.706829,11.9686407,drinking_water,,
57.7972804,12.052172,fast_food,,
57.7095806,11.9729041,fast_food,,
57.7973362,12.0518395,pharmacy,,
57.6647,11.8745,,,supermarket
57.6589174,11.8871674,bicycle_parking,,
57.6589799,11.8888352,recycling,,
57.6520008,11.9095619,bus_station,,
57.711799,11.9658339,ferry_terminal,,
57.7000034,11.9845678,restaurant,,
57.796469,12.0504378,,,kiosk
57.7964047,12.0504002,post_box,,
57.6225244,11.9106475,,marina,
57.623266,11.9055165,boat_storage,,
57.793243,12.0435809,post_box,,
57.7047056,11.9374468,restaurant,,
57.7055311,11.9367709,restaurant,,deli
57.7065751,11.9394842,restaurant,,
57.70611,11.9387128,restaurant,,
57.7967803,12.0513174,fast_food,,
57.6731652,11.9128762,,,supermarket
57.6709768,11.9164833,recycling,,
57.6714325,11.9279605,,,bicycle
57.6873815,11.9216742,atm,,
57.7523361,12.0317114,library,,
57.7620146,12.0412463,,,bakery
57.7577483,12.036866,,,bakery
57.7576998,12.0363204,fast_food,,
57.7983408,12.0513064,dentist,,
57.6466965,11.9331689,fast_food,,
57.6984956,11.965551,restaurant,,
57.6798894,11.8895295,,,convenience
57.6794509,11.8892726,restaurant,,
57.6837775,11.8899188,restaurant,,
57.6800293,11.9000029,fast_food,,
57.6972148,11.9481683,cafe,,
57.6746904,11.9284734,parking_entrance,,
57.6746281,11.9287793,parking_entrance,,
57.6548502,11.910208,,sports_centre,
57.6633739,11.9105978,toilets,,
57.6706564,11.9272953,library,,
57.7180274,11.8956926,recycling,,
57.7199468,11.8966142,recycling,,
57.7279808,11.8951192,recycling,,
57.7375427,11.8923122,parking_entrance,,
57.7593188,11.8012645,toilets,,
57.7596858,11.8039201,recycling,,
57.7616255,11.8071821,recycling,,
